iter	Passed	Remaining
0	2	2053
1	2	1207
2	2	877
3	3	751
4	3	648
5	3	584
6	3	536
7	4	497
8	4	469
9	4	445
10	4	426
11	4	410
12	5	395
13	5	382
14	5	372
15	5	362
16	6	353
17	6	347
18	6	342
19	6	336
20	7	331
21	7	326
22	7	321
23	7	318
24	8	315
25	8	312
26	8	309
27	8	305
28	9	302
29	9	298
30	9	295
31	9	293
32	9	290
33	10	288
34	10	288
35	10	285
36	10	284
37	11	282
38	11	280
39	11	278
40	11	278
41	12	277
42	12	277
43	12	277
44	13	276
45	13	276
46	13	275
47	13	275
48	14	274
49	14	273
50	14	273
51	14	271
52	15	271
53	15	271
54	15	270
55	16	270
56	16	270
57	16	270
58	16	269
59	17	269
60	17	268
61	17	268
62	17	267
63	18	267
64	18	266
65	18	267
66	19	266
67	19	266
68	19	265
69	19	265
70	20	264
71	20	266
72	20	265
73	21	265
74	21	264
75	21	263
76	22	264
77	22	263
78	22	263
79	23	265
80	23	265
81	23	264
82	23	262
83	24	262
84	24	261
85	24	261
86	24	260
87	25	260
88	25	259
89	25	259
90	25	259
91	26	259
92	26	259
93	26	258
94	27	258
95	27	257
96	27	256
97	27	256
98	28	256
99	28	255
100	28	255
101	28	254
102	29	254
103	29	253
104	29	253
105	30	253
106	30	252
107	30	252
108	30	251
109	31	251
110	31	250
111	31	250
112	31	249
113	32	249
114	32	249
115	32	249
116	32	248
117	33	248
118	33	248
119	33	247
120	34	247
121	34	246
122	35	251
123	35	251
124	35	250
125	36	250
126	36	249
127	36	248
128	36	248
129	37	248
130	37	247
131	37	247
132	37	246
133	38	246
134	38	245
135	38	244
136	38	244
137	39	243
138	39	243
139	39	242
140	39	242
141	39	241
142	40	241
143	40	240
144	40	240
145	41	239
146	41	239
147	41	238
148	41	238
149	41	237
150	42	236
151	42	236
152	42	235
153	42	235
154	43	234
155	43	234
156	43	233
157	43	233
158	43	232
159	44	231
160	44	230
161	44	230
162	44	229
163	44	229
164	45	228
165	45	228
166	45	228
167	46	227
168	46	227
169	46	227
170	46	227
171	47	226
172	47	226
173	47	226
174	47	226
175	48	225
176	48	225
177	48	225
178	49	227
179	49	227
180	50	226
181	50	226
182	50	226
183	51	226
184	51	225
185	51	225
186	51	225
187	52	224
188	52	224
189	52	224
190	52	223
191	53	223
192	53	223
193	53	222
194	53	222
195	54	222
196	54	222
197	54	221
198	55	221
199	55	221
200	55	221
201	55	220
202	56	220
203	56	219
204	56	219
205	56	219
206	57	219
207	57	218
208	57	218
209	57	218
210	58	217
211	58	217
212	58	217
213	58	216
214	59	216
215	59	216
216	59	215
217	60	215
218	60	215
219	60	214
220	60	214
221	61	216
222	62	216
223	62	216
224	62	216
225	63	215
226	63	215
227	63	215
228	64	217
229	65	217
230	65	217
231	65	217
232	66	218
233	66	218
234	67	218
235	67	217
236	67	217
237	67	217
238	68	216
239	68	216
240	68	216
241	69	216
242	69	216
243	69	215
244	69	215
245	70	215
246	70	214
247	70	214
248	71	214
249	71	213
250	71	213
251	71	213
252	72	212
253	72	212
254	72	212
255	72	211
256	73	211
257	73	210
258	73	210
259	73	210
260	74	210
261	74	209
262	74	209
263	74	209
264	75	208
265	75	208
266	75	208
267	76	207
268	76	207
269	76	207
270	76	207
271	77	206
272	77	206
273	77	206
274	78	205
275	78	205
276	78	205
277	78	204
278	79	204
279	79	204
280	79	204
281	80	203
282	80	203
283	80	203
284	80	202
285	81	202
286	81	201
287	81	201
288	81	201
289	82	201
290	82	200
291	82	200
292	83	200
293	83	200
294	83	200
295	84	200
296	84	200
297	84	199
298	85	199
299	85	199
300	85	199
301	86	198
302	86	198
303	86	198
304	86	197
305	87	197
306	87	196
307	87	196
308	87	196
309	88	195
310	88	195
311	88	195
312	88	194
313	89	194
314	89	194
315	89	193
316	89	193
317	90	193
318	90	192
319	90	192
320	90	191
321	90	191
322	91	191
323	91	190
324	91	190
325	91	190
326	92	189
327	92	189
328	92	189
329	92	188
330	93	188
331	93	187
332	93	187
333	93	187
334	94	187
335	94	186
336	94	186
337	95	186
338	95	185
339	95	185
340	95	185
341	96	185
342	96	184
343	96	184
344	97	184
345	97	183
346	97	183
347	97	183
348	98	183
349	98	182
350	98	182
351	98	181
352	99	181
353	99	181
354	99	180
355	99	180
356	100	180
357	100	180
358	100	179
359	100	179
360	101	178
361	101	178
362	101	178
363	101	177
364	101	177
365	102	177
366	102	176
367	102	176
368	102	175
369	103	175
370	103	175
371	103	174
372	103	174
373	104	174
374	104	173
375	104	173
376	104	173
377	105	172
378	105	173
379	106	173
380	106	173
381	106	172
382	107	172
383	107	172
384	108	173
385	108	172
386	108	172
387	109	172
388	109	171
389	109	171
390	109	171
391	110	170
392	110	170
393	110	170
